"model","beta","beta_se","beta_lower_95","beta_upper_95","annual_rate_ratio","annual_rate_ratio_lower_95","annual_rate_ratio_upper_95","annual_percent_change","annual_percent_change_lower_95","annual_percent_change_upper_95"
"F1_Poisson_GLM",-0.0365397670265572,0.00140498514917145,-0.0392935379189333,-0.0337859961341812,0.964119752958156,0.961468440275007,0.966778376811022,-3.58802470418438,-3.85315597249933,-3.32216231889777
"F2_Negative_Binomial",-0.0432743371820689,0.00934044847381529,-0.0615816161907468,-0.0249670581733909,0.957648635398944,0.940276200845895,0.975342041047536,-4.23513646010565,-5.97237991541046,-2.46579589524638
"F3_Hierarchical_Negative_Binomial",-0.0332877283271827,0.00275780087956852,-0.038693018051137,-0.0278824386032284,0.967260211384049,0.96204599457471,0.972502688855651,-3.27397886159513,-3.79540054252899,-2.74973111443489
