"model","log_likelihood","AIC","BIC","delta_AIC","delta_BIC"
"F3_Hierarchical_Negative_Binomial",-1543.3089436621,3094.61788732421,3110.63343559264,0,0
"F2_Negative_Binomial",-1971.23719776213,3948.47439552426,3960.48605672558,853.856508200048,849.852621132941
"F1_Poisson_GLM",-8976.41753130967,17956.8350626193,17964.8428367536,14862.2171752951,14854.2094011609
