"approach","model","estimate","lower_95","upper_95"
"Bayesian","M1_Poisson",-3.5852481396567,-3.8504078061493,-3.31972033004078
"Bayesian","M2_Negative_Binomial",-4.10028900838391,-5.8040655046793,-2.36549546923651
"Bayesian","M3_Hierarchical_Negative_Binomial",-3.26255029776175,-3.78431955887889,-2.73434138427556
"Frequentist","M1_Poisson",-3.58802470418438,-3.85315597249933,-3.32216231889777
"Frequentist","M2_Negative_Binomial",-4.23513646010565,-5.97237991541046,-2.46579589524638
"Frequentist","M3_Hierarchical_Negative_Binomial",-3.27397886159513,-3.79540054252899,-2.74973111443489
