"attempt_id","correlation","rmse","coverage","average_interval_width","convergence_passed"
1,0.992204469628069,0.0807053044389039,0.962962962962963,0.290056460348208,TRUE
2,0.997488039906962,0.0575905054247145,1,0.293264795394265,TRUE
3,0.994627730107357,0.0899916546300345,1,0.300639782745175,TRUE
4,0.993913205997036,0.087936793416601,0.925925925925926,0.313503033709758,TRUE
5,0.995537389149555,0.0816255093487053,0.925925925925926,0.305911091902135,TRUE
6,0.995437395157271,0.0815852668347537,0.925925925925926,0.320270683400788,TRUE
7,0.994876951104517,0.0808775156224828,0.888888888888889,0.306844039604575,TRUE
8,0.997147032781826,0.0716647635831891,1,0.310543841816541,TRUE
9,0.997043225745541,0.0559643783881345,0.925925925925926,0.293791239800626,TRUE
10,0.996051961849583,0.0538072535351652,1,0.280127474405785,TRUE
