"attempt_id","parameter","true_value","posterior_mean","posterior_median","lower_95","upper_95","interval_width","covered","convergence_passed"
1,"alpha",-0.693147180559945,-0.692679868032268,-0.692590699466938,-0.723564247057503,-0.661476951290359,0.0620872957671433,TRUE,TRUE
1,"beta",-0.0304592074847086,-0.0312973927910549,-0.0312996970447427,-0.037061107343801,-0.0255144574321733,0.0115466499116277,TRUE,TRUE
1,"r",30,33.2031476481904,32.9465473677803,25.7879757030853,42.120558849244,16.3325831461587,TRUE,TRUE
1,"sigma_country",0.8,0.662172462798052,0.652160703717328,0.506333574771173,0.875909767134088,0.369576192362915,TRUE,TRUE
2,"alpha",-0.693147180559945,-0.674061805364317,-0.67405814836988,-0.704430801093118,-0.642977100702748,0.0614537003903698,TRUE,TRUE
2,"beta",-0.0304592074847086,-0.027761217956963,-0.0277265086728812,-0.0334282206772656,-0.0221893008664656,0.0112389198108001,TRUE,TRUE
2,"r",30,35.1269369680342,34.8066848590189,26.9626297039886,44.9612102005383,17.9985804965497,TRUE,TRUE
2,"sigma_country",0.8,0.804378160870477,0.793249620426048,0.628802647104314,1.0370941359933,0.408291488888982,TRUE,TRUE
3,"alpha",-0.693147180559945,-0.713086601122859,-0.713020011811525,-0.745311184346096,-0.681483878044556,0.0638273063015392,TRUE,TRUE
3,"beta",-0.0304592074847086,-0.0293170335025359,-0.02932132133654,-0.0352056078685755,-0.0233732547279414,0.011832353140634,TRUE,TRUE
3,"r",30,27.9046963941076,27.6369151737414,21.7265175667896,35.4042651515367,13.6777475847472,TRUE,TRUE
3,"sigma_country",0.8,0.838742593904939,0.828754379181928,0.651813122728772,1.08374637680132,0.431933254072543,TRUE,TRUE
4,"alpha",-0.693147180559945,-0.677986787293902,-0.678110217754692,-0.711834042244694,-0.643920548088463,0.0679134941562309,TRUE,TRUE
4,"beta",-0.0304592074847086,-0.0299809516362124,-0.0299949407489067,-0.0358521404371423,-0.024065845653027,0.0117862947841153,TRUE,TRUE
4,"r",30,28.8576607298877,28.539383695,22.2836423377845,36.9605545385756,14.6769122007911,TRUE,TRUE
4,"sigma_country",0.8,0.739996599204355,0.730622102357398,0.574175945727208,0.958598313653417,0.384422367926209,TRUE,TRUE
5,"alpha",-0.693147180559945,-0.681403830267528,-0.681239261967617,-0.715697017009458,-0.648192820068668,0.0675041969407907,TRUE,TRUE
5,"beta",-0.0304592074847086,-0.0343890171278484,-0.0343531853030575,-0.0403024966665127,-0.0285786432458276,0.011723853420685,TRUE,TRUE
5,"r",30,30.5854253241655,30.3114472158786,23.5463652180007,38.8852780467098,15.3389128287091,TRUE,TRUE
5,"sigma_country",0.8,0.827036514869027,0.814928362996775,0.6498841950795,1.07825623095965,0.428372035880151,TRUE,TRUE
6,"alpha",-0.693147180559945,-0.657786178104609,-0.657930415891412,-0.692558241682253,-0.622857032844652,0.0697012088376017,FALSE,TRUE
6,"beta",-0.0304592074847086,-0.028766099633256,-0.028742230816063,-0.034787670604886,-0.0228263466101316,0.0119613239947544,TRUE,TRUE
6,"r",30,27.2714444457918,27.1020683066811,21.4401668337067,34.2631180993188,12.822951265612,TRUE,TRUE
6,"sigma_country",0.8,0.784720461765944,0.776065719111684,0.606101357463241,1.02262547566549,0.416524118202249,TRUE,TRUE
7,"alpha",-0.693147180559945,-0.695223707219477,-0.695302930760673,-0.729089301376261,-0.66227030011095,0.0668190012653109,TRUE,TRUE
7,"beta",-0.0304592074847086,-0.0335251048437862,-0.0335652795602034,-0.0392355640343847,-0.0277619343676326,0.0114736296667521,TRUE,TRUE
7,"r",30,33.1080335586488,32.8286400456404,25.5483545325458,42.0735856630631,16.5252311305173,TRUE,TRUE
7,"sigma_country",0.8,0.784374383009817,0.774217444675769,0.607292298559079,1.02586168111402,0.418569382554937,TRUE,TRUE
8,"alpha",-0.693147180559945,-0.713320495769634,-0.713224936806005,-0.747043366260965,-0.680370187157804,0.0666731791031614,TRUE,TRUE
8,"beta",-0.0304592074847086,-0.0254797481806513,-0.0254701289584033,-0.0312519617027514,-0.0197513573320228,0.0115006043707286,TRUE,TRUE
8,"r",30,30.2910139256715,30.0578964861831,23.6634957050514,38.3141591347825,14.6506634297311,TRUE,TRUE
8,"sigma_country",0.8,0.93370394473307,0.923533820167171,0.729621478183107,1.20067612560145,0.471054647418339,TRUE,TRUE
9,"alpha",-0.693147180559945,-0.689866824290972,-0.689832313368301,-0.721123718942073,-0.658821305167907,0.062302413774166,TRUE,TRUE
9,"beta",-0.0304592074847086,-0.0332696694351759,-0.0333060150393094,-0.0389460435709187,-0.0276216689755234,0.0113243745953953,TRUE,TRUE
9,"r",30,31.604997533625,31.3341100175057,24.5077004168503,40.3830269214902,15.8753265046399,TRUE,TRUE
9,"sigma_country",0.8,0.728653708936494,0.719528310278527,0.560702211452023,0.947729704690282,0.387027493238259,TRUE,TRUE
10,"alpha",-0.693147180559945,-0.696618812287834,-0.6965280499656,-0.726327002245313,-0.668280829685637,0.058046172559676,TRUE,TRUE
10,"beta",-0.0304592074847086,-0.0265829749650702,-0.0265915818073004,-0.0323390836193668,-0.0206887296174378,0.011650354001929,TRUE,TRUE
10,"r",30,28.689423936032,28.3741474815915,22.0820669478384,37.0084299256783,14.9263629778399,TRUE,TRUE
10,"sigma_country",0.8,0.597977254730499,0.590336556816055,0.456957619432067,0.785217795601587,0.32826017616952,FALSE,TRUE
