"parameter","mean","median","sd","lower_95","upper_95"
"beta",-0.0318529599786072,-0.0318705678631107,0.0028059145439927,-0.0373577455898578,-0.026296243277426
"annual_rate_ratio",0.968652814973357,0.968631946068617,0.00271809125814268,0.963331446120785,0.974046492138158
"annual_percent_change",-3.13471850266435,-3.13680539313833,0.271809125814268,-3.6668553879215,-2.59535078618424
"r",33.77771640294,33.455561226648,4.42017972484507,26.057232365237,43.2783265056979
"sigma_country",0.835010106792832,0.824512695885543,0.110425939110317,0.649266447230195,1.0796340967216
