"parameter","rhat","rhat_upper","ess","status"
"alpha",1.00000898529559,1.0000919030458,11768.7597978466,"Good"
"beta",1.00002780840363,1.00006591483536,23611.4843341791,"Good"
"r",1.00008248321466,1.00010829637773,20063.7925740553,"Good"
"sigma_country",1.00051752491983,1.00164383466706,14584.7555653335,"Good"
