"analysis","parameter","median","lower_95","upper_95"
"Main analysis","annual_percent_change",-3.26255029776175,-3.78431955887889,-2.73434138427556
"Main analysis","r",32.8449952287094,25.73901975553,42.1408909295191
"Main analysis","sigma_country",0.819439905155909,0.645664094220527,1.07708589685011
"Excluding 2020","annual_percent_change",-3.13680539313833,-3.6668553879215,-2.59535078618424
"Excluding 2020","r",33.455561226648,26.057232365237,43.2783265056979
"Excluding 2020","sigma_country",0.824512695885543,0.649266447230195,1.0796340967216
