"model","Dbar","Dhat","pD","DIC","delta_DIC"
"M3_Hierarchical_Negative_Binomial",2952.31925633848,2923.33881597191,28.9804403665685,2981.29969670505,0
"M2_Negative_Binomial",3945.44835053932,3942.50556432136,2.94278621796684,3948.39113675729,967.09144005224
"M1_Poisson",17954.8212842719,17952.8353942636,1.98589000829088,17956.8071742802,14975.5074775752
