model,year,prior_median,prior_lower,prior_upper
M1_Poisson,2010,0.4827761978859259,0.1510235016365295,1.6009349680742562
M1_Poisson,2011,0.48035568220797376,0.1585661890815061,1.5435895406211229
M1_Poisson,2012,0.4848203632506959,0.16783773034601612,1.4571920986344926
M1_Poisson,2013,0.485076612045116,0.1697103107044052,1.3850353798680561
M1_Poisson,2014,0.49031028274912625,0.18054378905008997,1.343362808429524
M1_Poisson,2015,0.4866266519243933,0.18058626862528304,1.3294437424314225
M1_Poisson,2016,0.4912408379684982,0.18531345843946562,1.2959726048760185
M1_Poisson,2017,0.4873466257668712,0.1922034764826176,1.2874552658486702
M1_Poisson,2018,0.48998596759790786,0.19109580303610152,1.2905791555045278
M1_Poisson,2019,0.49171129813823,0.1869357306809487,1.3126243305279253
M1_Poisson,2020,0.48948220064724923,0.18328730052449504,1.3157153219506752
M1_Poisson,2021,0.4933902362860414,0.18085120224836057,1.3796190277922324
M1_Poisson,2022,0.49330418147034705,0.1748925439141345,1.467117195458272
M1_Poisson,2023,0.49449889497453636,0.1638320361295282,1.5532273950225786
M1_Poisson,2024,0.49340420191613665,0.15508167903990946,1.6811634307930166
M2_Negative_Binomial,2010,0.4914954123517734,0.1421768524977196,1.664719375435958
M2_Negative_Binomial,2011,0.49381250164911994,0.15062402701918257,1.5781880788411287
M2_Negative_Binomial,2012,0.49105130584648005,0.1582659419329179,1.5024393477396252
M2_Negative_Binomial,2013,0.495850180889551,0.1659661630134071,1.3947049904234932
M2_Negative_Binomial,2014,0.49242825373292376,0.16544662713120828,1.3903486709732065
M2_Negative_Binomial,2015,0.48820618122466186,0.1684699626178066,1.381074606433948
M2_Negative_Binomial,2016,0.4905910485002859,0.1733573322243593,1.3647073348235148
M2_Negative_Binomial,2017,0.48939161554192234,0.17561349693251535,1.3178872699386497
M2_Negative_Binomial,2018,0.491006505931879,0.1681273121571629,1.3433983926521234
M2_Negative_Binomial,2019,0.4915837796480489,0.17596914052537616,1.3237758224942608
M2_Negative_Binomial,2020,0.49520142841200765,0.16875209240040176,1.4120006137707846
M2_Negative_Binomial,2021,0.4962527323826377,0.16496434891225148,1.3990449672114065
M2_Negative_Binomial,2022,0.49454644835896533,0.15799771422892492,1.474601853462196
M2_Negative_Binomial,2023,0.493898337657346,0.15228932449312962,1.5040597674642067
M2_Negative_Binomial,2024,0.502715939123823,0.1487461616359457,1.5400611445737595
M3_Hierarchical_Negative_Binomial,2010,0.5391157375114022,0.1507552181145034,2.1827614422922132
M3_Hierarchical_Negative_Binomial,2011,0.5473759202089764,0.15884324124647087,2.1530911105833908
M3_Hierarchical_Negative_Binomial,2012,0.5416942860930662,0.1678178443590083,1.9480445446108925
M3_Hierarchical_Negative_Binomial,2013,0.5507820812938924,0.17024898914662695,2.094514790380931
M3_Hierarchical_Negative_Binomial,2014,0.5367732712061843,0.17049666419570048,1.9260960499841144
M3_Hierarchical_Negative_Binomial,2015,0.546385510451219,0.1734783867740747,1.8265018691096695
M3_Hierarchical_Negative_Binomial,2016,0.5371159744242865,0.18060248479492644,1.8308273119509253
M3_Hierarchical_Negative_Binomial,2017,0.5345092024539878,0.1727185582822086,1.9105572597137
M3_Hierarchical_Negative_Binomial,2018,0.5314453374154866,0.1678721775736701,1.7935961219543293
M3_Hierarchical_Negative_Binomial,2019,0.5409334353481254,0.16296225452690638,1.7065927059423607
M3_Hierarchical_Negative_Binomial,2020,0.5366309563664771,0.1626074098872894,1.8062158241267714
M3_Hierarchical_Negative_Binomial,2021,0.5351566566045591,0.15560268554179243,1.8398368377224923
M3_Hierarchical_Negative_Binomial,2022,0.5347958955501999,0.15924619245198637,1.993620959526943
M3_Hierarchical_Negative_Binomial,2023,0.5359373498606708,0.14964086672432017,2.063178629768423
M3_Hierarchical_Negative_Binomial,2024,0.5326549422979029,0.14235760269092546,2.1186913159584733
