model,statistic,observed,prior_mean,prior_median,prior_2.5%,prior_97.5%,observed_inside_95%_prior_interval
M1_Poisson,total_accidents,27121.0,33010.2355,29073.5,11290.675,76411.59999999998,True
M1_Poisson,mean_count,66.96543209876543,81.50675432098764,71.78641975308642,27.87820987654321,188.67061728395055,True
M1_Poisson,variance_count,6579.340386260849,20475.14734234201,12202.78051582936,1810.0140954651017,86701.4282254614,True
M1_Poisson,zero_count,7.0,2.4765,1.0,0.0,14.0,True
M1_Poisson,maximum_count,488.0,824.4655,695.0,263.0,2048.0249999999996,True
M1_Poisson,variance_country_rates,0.3838733243102851,0.0013041992479787589,0.001010426596697913,0.0002810742603056406,0.0040397431670045015,False
M1_Poisson,rate_ratio_2024_2010,0.6066836323332154,1.305937020072281,1.009381870377528,0.25512764183437997,4.030987706866911,True
M2_Negative_Binomial,total_accidents,27121.0,33366.672,29472.5,10826.5,77787.89999999989,True
M2_Negative_Binomial,mean_count,66.96543209876543,82.38684444444443,72.77160493827161,26.7320987654321,192.0688888888886,True
M2_Negative_Binomial,variance_count,6579.340386260849,25934.460530955872,15010.62138491627,1879.235451961863,111841.85392403114,True
M2_Negative_Binomial,zero_count,7.0,4.8005,2.0,0.0,23.0,True
M2_Negative_Binomial,maximum_count,488.0,1183.7635,992.0,308.0,3156.0999999999995,True
M2_Negative_Binomial,variance_country_rates,0.3838733243102851,0.006273324702347089,0.0029452024217427103,0.00046866542834839413,0.03247739824525676,False
M2_Negative_Binomial,rate_ratio_2024_2010,0.6066836323332154,1.3028672469231064,1.0368193836065487,0.25157982419450836,4.104109133488455,True
M3_Hierarchical_Negative_Binomial,total_accidents,27121.0,38877.2295,32208.5,11078.525,100434.47499999993,True
M3_Hierarchical_Negative_Binomial,mean_count,66.96543209876543,95.99315925925926,79.52716049382715,27.354382716049383,247.98635802469119,True
M3_Hierarchical_Negative_Binomial,variance_count,6579.340386260849,71071.65804495783,18506.344279427947,1847.024518090698,344518.7063461062,True
M3_Hierarchical_Negative_Binomial,zero_count,7.0,6.702,4.0,0.0,33.0,True
M3_Hierarchical_Negative_Binomial,maximum_count,488.0,1511.414,1034.0,309.77500000000003,5433.3249999999925,True
M3_Hierarchical_Negative_Binomial,variance_country_rates,0.3838733243102851,0.619487124827915,0.03529356331361503,0.0011885420456684216,2.875363490322163,True
M3_Hierarchical_Negative_Binomial,rate_ratio_2024_2010,0.6066836323332154,1.2668360275059374,0.9725011706247364,0.23222979042459432,4.085235010659532,True
