"country_id","country","country_name","u_mean","u_median","u_lower_95","u_upper_95","rate_ratio_mean","rate_ratio_median","rate_ratio_lower_95","rate_ratio_upper_95","probability_above_average"
8,"EE","Estonia",1.37589683206414,1.37616619844565,1.22385274445792,1.52644388006233,3.97048441218623,3.9596918177925,3.40026287381592,4.60178319775004,1
24,"RO","Romania",1.13261097212655,1.13236391120951,1.0343060317521,1.23174853504145,3.10765775362241,3.10298301342786,2.81315331899289,3.42721690912177,1
9,"EL","Greece",1.08832039420889,1.08851726891765,0.94110122137445,1.23433351773353,2.97756037094773,2.96986729179129,2.5628020773883,3.43608766589277,1
27,"SK","Slovakia",0.961483787440809,0.961667294024091,0.854501730631568,1.07058968311142,2.61952535809149,2.61605457145247,2.35020305458952,2.91709915701093,1
3,"BG","Bulgaria",0.934282391022243,0.934466602984745,0.817376883011474,1.05201823703456,2.54992502470703,2.54585514397798,2.26455185537895,2.86342435932203,1
19,"LV","Latvia",0.862574985452693,0.862718374519676,0.720393619099219,1.00393272054529,2.37544738842658,2.36959338880352,2.05524203399897,2.72899311972169,1
13,"HR","Croatia",0.832558669095835,0.832328478887651,0.703494271673048,0.962371513519447,2.30420090740358,2.2986649063378,2.02080161474501,2.61789749692003,1
17,"LT","Lithuania",0.821049442229564,0.821015421819045,0.675800887339127,0.965410192975217,2.27910474585805,2.27280652354317,1.96560657516796,2.62586454678681,1
14,"HU","Hungary",0.812750943307826,0.812437864788081,0.713246281541995,0.912648043993781,2.25700497960758,2.25339476770205,2.04060489600254,2.49090984665101,1
22,"PL","Poland",0.755948754268008,0.755493356507922,0.661511464443824,0.852440417174488,2.13213124417497,2.12866145332056,1.93771891537626,2.34536353899912,1
23,"PT","Portugal",0.609854981896201,0.60969879347725,0.48894114926794,0.730399470372183,1.84364845148381,1.83987713231821,1.63058875545586,2.07590970650861,1
26,"SI","Slovenia",0.0550582288119784,0.0556622292812161,-0.113757062961602,0.219643588937201,1.060428411614,1.05724051853375,0.892474744722557,1.24563269419,0.742275
5,"CZ","Czechia",-0.0268810735117713,-0.0272463025413448,-0.129192328606894,0.0762691077652298,0.97481612686733,0.973121529698937,0.878804929963006,1.07925297048381,0.3037
21,"NO","Norway",-0.124777499497272,-0.125044860779519,-0.258371631703575,0.00945468844312799,0.884766657068112,0.882457313975171,0.772308164573732,1.00949952520515,0.0337875
1,"AT","Austria",-0.37973113917867,-0.38002360507139,-0.488670077261047,-0.269048160369879,0.685121741745869,0.683845266805758,0.613441681971254,0.764106455112832,0
11,"FI","Finland",-0.492980656939936,-0.492902989614004,-0.643717175366729,-0.343626254357154,0.612593591725828,0.610850525040068,0.525336024043747,0.709193936669265,0
2,"BE","Belgium",-0.545221036606312,-0.545192851788865,-0.67022759455853,-0.41894376254534,0.580904769633174,0.579729970596662,0.511592128959433,0.657741183917777,0
12,"FR","France",-0.592998804523574,-0.593250151181265,-0.691419873286387,-0.493867883334684,0.553378344410801,0.552528561899233,0.500864399964341,0.6102614034673,0
6,"DE","Germany",-0.641120974757188,-0.641593707099293,-0.735127247361741,-0.544979035896923,0.527317360728656,0.526452743643493,0.479444447052573,0.579853939333987,0
25,"SE","Sweden",-0.652615087772412,-0.652779587421858,-0.76915842395048,-0.534164055691746,0.521614371660624,0.520596719709659,0.463402893031229,0.586159081748516,0
16,"IT","Italy",-0.659757572843816,-0.660092691881113,-0.761407677351525,-0.556653043752072,0.517682738026502,0.516803428789602,0.467008566709322,0.573124078547479,0
10,"ES","Spain",-0.699152897429853,-0.699436080454504,-0.812577687057054,-0.585140218736132,0.497835834608795,0.496865416924985,0.443712837997537,0.557027750615689,0
4,"CH","Switzerland",-0.885758916365415,-0.885721406509931,-1.00208849509046,-0.768117579049104,0.413136658977749,0.412416545955761,0.367111928528761,0.463885474671955,0
18,"LU","Luxembourg",-0.901436833725656,-0.89688594265556,-1.26492014033289,-0.560786308767242,0.412612657734724,0.407837714348201,0.282261836576791,0.570760093747631,0
7,"DK","Denmark",-0.964369074391549,-0.963835712329753,-1.1261862999626,-0.804096324961088,0.382520343979478,0.38142703210553,0.32426756050127,0.447492131366662,0
20,"NL","Netherlands",-1.20633940570954,-1.20635387594576,-1.33895322460101,-1.07368285188722,0.299969750917525,0.299286528265669,0.262119905691884,0.341747591180554,0
15,"IE","Ireland",-1.46924940867177,-1.46572167256591,-1.80689659509539,-1.15330392280983,0.233316397592851,0.230911288990022,0.164162810760561,0.315592352243786,0
