"model","parameter","mean","median","sd","lower_95","upper_95"
"M1_Poisson","alpha",-0.769609561459213,-0.76959366416139,0.00609101691246811,-0.781619306604038,-0.75774053848397
"M1_Poisson","beta",-0.0365146296751286,-0.0365109684821976,0.00140322093875772,-0.0392649553159046,-0.0337607374184828
"M1_Poisson","baseline_rate_2017",0.463202473915642,0.463201245343575,0.00282128442185703,0.457664312105064,0.46872429596112
"M1_Poisson","annual_rate_ratio",0.964144937888195,0.964147518603433,0.00135290672886095,0.961495921938507,0.966802796699592
"M1_Poisson","annual_percent_change",-3.58550621118053,-3.5852481396567,0.135290672886095,-3.8504078061493,-3.31972033004078
"M1_Poisson","rate_ratio_2010_2024",0.599888271932133,0.599803271268014,0.0117857378180814,0.577117511120167,0.623348002997057
"M1_Poisson","percent_change_2010_2024",-40.0111728067867,-40.0196728731986,1.17857378180814,-42.2882488879833,-37.6651997002943
"M1_Poisson","rate_2010",0.59812931012086,0.598084541292573,0.00648872075479413,0.585474582176752,0.610957065316513
"M1_Poisson","rate_2024",0.35874722917688,0.358711897024461,0.00438587912786991,0.350217252023432,0.367421526365449
"M2_Negative_Binomial","alpha",-0.29614036107374,-0.29632697361535,0.0405734252978514,-0.374942238639052,-0.215870201199558
"M2_Negative_Binomial","beta",-0.041862734039594,-0.0418672177464607,0.0091431666925914,-0.0597931635608891,-0.023939225017746
"M2_Negative_Binomial","baseline_rate_2017",0.744295741669019,0.743544268911279,0.0302357266343283,0.687328978701672,0.805839892137
"M2_Negative_Binomial","annual_rate_ratio",0.959041495665464,0.958997109916161,0.0087689212260514,0.941959344953207,0.976345045307635
"M2_Negative_Binomial","annual_percent_change",-4.0958504334536,-4.10028900838391,0.87689212260514,-5.8040655046793,-2.36549546923651
"M2_Negative_Binomial","rate_ratio_2010_2024",0.561083768678471,0.556470539568585,0.0721290486523041,0.432962443696928,0.715231401455497
"M2_Negative_Binomial","percent_change_2010_2024",-43.8916231321529,-44.3529460431415,7.21290486523041,-56.7037556303072,-28.4768598544503
"M2_Negative_Binomial","rate_2010",0.999713134031315,0.996299742795459,0.0751983876607996,0.861763171163356,1.15678714084696
"M2_Negative_Binomial","rate_2024",0.556412822760117,0.554470819958123,0.0427399634241722,0.477936940640139,0.645677791204777
"M2_Negative_Binomial","r",1.62602577919228,1.62316811391504,0.114170188001421,1.41071874780301,1.85864585140722
"M3_Hierarchical_Negative_Binomial","alpha",-0.597878250324678,-0.597850305316592,0.0152095525780538,-0.628033726852484,-0.568301237149271
"M3_Hierarchical_Negative_Binomial","beta",-0.03316072560324,-0.0331695813323314,0.00277030013254588,-0.0385778432507659,-0.0277242024075862
"M3_Hierarchical_Negative_Binomial","baseline_rate_2017",0.550040922258257,0.549992682540158,0.00836496389188839,0.533640052200161,0.566486948763529
"M3_Hierarchical_Negative_Binomial","annual_rate_ratio",0.967386775965036,0.967374497022383,0.00267997463964382,0.962156804411211,0.972656586157244
"M3_Hierarchical_Negative_Binomial","annual_percent_change",-3.26132240349636,-3.26255029776175,0.267997463964382,-3.78431955887889,-2.73434138427556
"M3_Hierarchical_Negative_Binomial","rate_ratio_2010_2024",0.629079263287189,0.628528353719616,0.0244096101457527,0.582695920719454,0.67831816331789
"M3_Hierarchical_Negative_Binomial","percent_change_2010_2024",-37.0920736712811,-37.1471646280384,2.44096101457527,-41.7304079280546,-32.168183668211
"M3_Hierarchical_Negative_Binomial","rate_2010",0.693873510145285,0.693749376945118,0.0166416501224629,0.661666339535159,0.727001266354185
"M3_Hierarchical_Negative_Binomial","rate_2024",0.436187287164961,0.436031058402681,0.0110318235228063,0.415025838563194,0.45822577026206
"M3_Hierarchical_Negative_Binomial","r",33.1386479485594,32.8449952287094,4.1887715056562,25.73901975553,42.1408909295191
"M3_Hierarchical_Negative_Binomial","sigma_country",0.829961245211774,0.819439905155909,0.110169996133142,0.645664094220527,1.07708589685011
"M3_Hierarchical_Negative_Binomial","country_sd_multiplier",2.30751231759278,2.26922849834912,0.264075896087356,1.90725320466986,2.9361109420793
