country_name,year,accidents,train_km,accidents_per_million_train_km
Ireland,2012,0,18.4,0.0
Ireland,2016,0,18.2,0.0
Ireland,2020,0,15.6,0.0
Luxembourg,2012,0,8.8,0.0
Luxembourg,2014,0,9.0,0.0
Luxembourg,2015,0,9.2,0.0
Luxembourg,2019,0,8.6,0.0
