"parameter","true_value","mean_posterior_estimate","bias","rmse","coverage_95","average_interval_width","successful_replications"
"alpha",-0.693147180559945,-0.68920349097534,0.00394368958460523,0.0167758227460881,0.9,0.064632796909599,10
"beta",-0.0304592074847086,-0.0300369210072554,0.000422286477453154,0.00291450899275034,1,0.0116038357697422,10
"r",30,30.6642780464155,0.664278046415451,2.53114204205917,1,15.2825271565296,10
"sigma_country",0.8,0.770175608482267,-0.0298243915177326,0.0943958791560569,0.9,0.40440311567141,10
