"model","parameter","rhat","rhat_upper","ess","posterior_sd","mcse","mcse_to_sd_percent"
"M3_country_effects","u[1]",1.00001448463933,1.00009156145771,47405.8565976644,0.0560711867451062,0.000257527581202081,0.459286839019075
"M3_country_effects","u[2]",1.00006651349762,1.00015050532475,49290.3079905314,0.0640626237782238,0.000288551911706064,0.450421626040469
"M3_country_effects","u[3]",1.00000444610477,1.00003639906102,49605.0004034826,0.0596927613580547,0.00026801490124792,0.448990623235351
"M3_country_effects","u[4]",1.00005294362166,1.00013964083415,51093.9950783796,0.0596893158448382,0.000264065503376416,0.442399949871853
"M3_country_effects","u[5]",1.00009206674323,1.00028630351227,49626.3378051749,0.0524228696120274,0.000235323162749955,0.44889408857535
"M3_country_effects","u[6]",1.00003138323013,1.00012096899193,47109.9039405468,0.0483224378502297,0.000222634634439277,0.460727240478449
"M3_country_effects","u[7]",1.00004556220262,1.0000839487515,49132.4152202584,0.0824382904499699,0.000371916049723731,0.451144786838391
"M3_country_effects","u[8]",1.0000545279832,1.00017499633011,50818.3730570398,0.0773655360853623,0.000343192003986914,0.443598042942854
"M3_country_effects","u[9]",1.00014314923128,1.00048505369285,50583.7254879347,0.0746222701354479,0.000331789815467675,0.444625732861569
"M3_country_effects","u[10]",1.00004138402327,1.00014338009359,50786.6166611543,0.0577453162140428,0.000256237166417076,0.443736710120851
"M3_country_effects","u[11]",1.00007504726843,1.00024529227927,50294.6084349144,0.0765274470604868,0.000341237310167706,0.445901860410937
"M3_country_effects","u[12]",1.00007887733382,1.00024447590391,50382.85594864,0.0506887547071692,0.000225824070296877,0.445511182118147
"M3_country_effects","u[13]",1.00002829975027,1.00012431713003,50156.0480761124,0.0659528145280608,0.000294490764011618,0.446517356566067
"M3_country_effects","u[14]",1.00004624387337,1.00012921316522,48557.221539295,0.05074239352427,0.000230273538676222,0.453808980386553
"M3_country_effects","u[15]",1.00024193208348,1.00078510544319,33530.9717143022,0.167281273140618,0.000913533032162449,0.546105977681392
"M3_country_effects","u[16]",1.00007843290608,1.00021803397883,49202.606041611,0.0522346074189897,0.000235485560387072,0.450822877825367
"M3_country_effects","u[17]",1.00015530714453,1.00039598597044,50105.7645531415,0.0739449001944964,0.000330342446204297,0.446741351107921
"M3_country_effects","u[18]",1.00015942848971,1.00045463883614,33521.0140773474,0.18072178702425,0.000987079058408935,0.5461870838387
"M3_country_effects","u[19]",1.00001422501075,1.00003183386114,50684.2814465021,0.0722690627701529,0.000321007940732664,0.444184452417224
"M3_country_effects","u[20]",1.00000052823865,1.00004559975579,50227.2530781136,0.0673238499960538,0.000300399516980638,0.446200740151144
"M3_country_effects","u[21]",1.00011366472815,1.00024728101222,49839.9737225468,0.0684974354987705,0.000306821232205778,0.447930977228025
"M3_country_effects","u[22]",1.00003961494929,1.00014610178245,48769.3807989429,0.0484296482380229,0.000219299526422952,0.452820812047064
"M3_country_effects","u[23]",1.00001077784949,1.00008015980122,49074.6011626288,0.0615119660558916,0.000277671444067623,0.451410452098577
"M3_country_effects","u[24]",1.00005697242275,1.00011077615927,49203.4856047703,0.0501587651565369,0.00022612516742273,0.450818848344915
"M3_country_effects","u[25]",1.00001148967663,1.00006090806866,49224.7081460875,0.0597907976417963,0.000269490073124243,0.450721655761719
"M3_country_effects","u[26]",1.00005102819045,1.00020987776651,49458.9873090314,0.0850778928446754,0.000382555204864714,0.449652891101964
"M3_country_effects","u[27]",1.00011982235092,1.00034613391826,49835.2276337002,0.0549306710396659,0.000246063207740232,0.447952306212586
