"model","parameter","rhat","rhat_upper","ess","posterior_sd","mcse","mcse_to_sd_percent","status"
"M1_Poisson","alpha",1.00002849407268,1.00009784962327,118320.382150679,0.00609101691246811,1.770761306676e-05,0.290716859290164,"Good"
"M1_Poisson","beta",1.00000485100919,1.00002811473374,117146.170565437,0.00140322093875772,4.09979374400425e-06,0.292170222861257,"Good"
"M2_Negative_Binomial","alpha",0.999997917885301,1.00000583618556,121029.859024438,0.0405734252978514,0.000116626007799541,0.287444323330812,"Good"
"M2_Negative_Binomial","beta",1.00003460144125,1.00008629446422,125309.262928083,0.0091431666925914,2.58288487962646e-05,0.282493469327136,"Good"
"M2_Negative_Binomial","r",1.00000722750442,1.00003059681726,119836.735023646,0.114170188001421,0.000329805377190227,0.288871712452748,"Good"
"M3_Hierarchical_Negative_Binomial","alpha",1.0001138021744,1.00033772647693,23622.0221852529,0.0152095525780538,9.89595933504891e-05,0.650641054972782,"Good"
"M3_Hierarchical_Negative_Binomial","beta",1.00004405629817,1.00014227119358,47683.3043061625,0.00277030013254588,1.26865533838779e-05,0.457948697862535,"Good"
"M3_Hierarchical_Negative_Binomial","r",1.00006053666744,1.00023005941209,41697.7336037518,4.1887715056562,0.0205130597656332,0.489715415078954,"Good"
"M3_Hierarchical_Negative_Binomial","sigma_country",1.00020370869093,1.00065482049955,19988.3643792481,0.110169996133142,0.000779246221806584,0.7073125616387,"Good"
